user_session,view_count,cart_count,is_purchased,unique_products,avg_price,session_duration
000201a5-a363-4fd2-9228-ab8148c528c1,1,0,0,1,382.25,0.0
00020305-cbad-48d4-8ead-d9bd2fae9678,2,0,0,2,1143.35,26.0
0002503e-1e78-401f-9da2-1ea2896f09dc,5,0,0,5,198.074,65.0
00031db9-7363-414c-812c-4a3683aa0b1c,17,0,0,12,55.30235294117647,570.0
0008f678-9531-4d1e-a22a-4b39d1b7e79c,1,0,0,1,151.99,0.0
00092ee4-0243-4bda-8ffd-5b905a086c7f,5,0,1,1,40.93,134.0
000af23c-7e34-4134-b8f1-dce83d875e01,1,0,0,1,41.19,0.0
000ed366-740e-4feb-b734-862d66f65e92,3,0,0,3,1058.1233333333332,9234.0
000f9ef6-a0d4-4106-87c1-c16debc61758,1,0,0,1,750.34,0.0
000fee39-b0f0-4b50-b747-1a33dc6404fa,1,0,0,1,79.59,0.0
0011e775-7199-4855-a294-1101aab87901,2,0,0,2,218.845,64.0
00145156-0e5d-49f3-b460-5d6e52e50bf1,1,0,0,1,48.39,0.0
00154239-0c89-4494-985b-04e8043e8062,1,0,0,1,962.44,0.0
0019adfe-409a-4d59-bec2-63f9516d477e,3,0,0,3,66.74666666666667,530.0
001c15a3-cefa-40ad-b786-c319aa464123,5,0,0,2,6.194,361.0
001ce2ea-77d4-452f-aa19-fb88915ac8d4,1,0,0,1,42.47,0.0
001d2675-b89b-4309-ac93-97b8b2f4e430,15,0,0,10,306.1853333333333,921.0
001d5d58-3e32-43db-9374-ad9de090bfa5,2,0,0,2,802.71,40.0
001d9118-8e8d-45ab-88be-7b397210d9aa,2,0,0,2,669.0,10.0
001db8bd-7662-4642-87fa-19a496dfd8ed,2,0,0,1,254.71,77.0
001ed1c2-4a68-4f8c-8865-d0fa4635f2cb,1,0,0,1,617.75,0.0
0021a9d7-aaec-441e-8861-0457181c0a6b,2,0,0,2,990.4649999999999,41.0
0023616d-d730-4ad6-9929-b71ad0ac04ad,6,0,0,2,44.02,229.0
0023629c-a16c-4488-8e92-2f61733cb810,6,0,0,5,39.169999999999995,54.0
00236af9-be31-43d8-a60d-c6214e314b56,1,0,0,1,226.26,0.0
0025493f-1ccb-42bb-879d-9a1fabfc3f6d,2,0,0,2,302.94,31.0
0025a384-a53e-4dbf-a767-b5ed14c69622,3,0,0,2,82.24666666666667,89.0
00274f82-8337-4282-b03a-777376efc3b5,1,0,0,1,566.3,0.0
0028e8bc-7037-4592-ac3a-7132c1670a50,1,0,0,1,949.47,0.0
0029233d-756f-49f7-90fe-107c747b3acd,2,0,0,2,1732.315,38.0
002a20b3-6aaf-4633-b035-632da2214113,1,0,0,1,208.32,0.0
002a35ed-7253-76b3-c5c1-1858cdc2f978,5,0,0,4,79.22999999999999,134.0
002ac5be-f071-4ddc-8888-1888c3a47389,1,0,0,1,58.95,0.0
002bc630-adbf-42ca-aee0-0889b5d1f07f,2,0,0,1,458.28,29.0
002c4cc3-1c0b-454a-871e-11200cd835e4,2,0,0,1,61.52,53.0
002cc294-3032-4dc2-8178-4bf026bb812e,1,0,0,1,72.33,0.0
00329b1c-9687-4631-988f-c41ce2c65920,6,0,0,4,40.166666666666664,132.0
00345c47-a9d4-4041-a62f-cc8b2833cd2d,1,0,0,1,41.19,0.0
00350bc6-ca20-460b-ae21-3736abe24176,2,0,0,2,174.265,52.0
00357cfa-08e6-43bd-b304-46ffc01ca55c,3,0,0,1,242.63,42.0
0036a270-5f74-4689-81f9-230c3da82c20,4,0,0,2,341.03499999999997,192.0
00392acc-1a26-4d3b-9588-4052c456b05e,1,0,0,1,722.4,0.0
003978a3-fb21-48eb-81f8-f31d01ebadc1,1,0,0,1,306.05,0.0
003b0343-5701-4ba2-bd51-e80274d3ad10,1,0,0,1,265.1,0.0
003da6f6-96ea-4ce0-beed-0c824b1b6a29,2,0,0,1,31.27,24.0
003fbb1d-e4cf-48b1-bc66-23b138b20567,2,0,0,2,521.215,60.0
0041082d-3493-490b-a2d8-6f087005ff3d,5,0,0,3,142.576,217.0
004157aa-10de-467e-931d-3bdadadf33b6,1,0,0,1,125.1,0.0
0041e4b8-f4df-42ef-adf9-7e84bbd5e927,1,0,0,1,39.9,0.0
0041f848-b77f-49b4-b0d9-fadaee9e576a,1,0,0,1,38.58,0.0
0042489e-7192-475a-b8bd-30c32699100b,3,0,0,2,205.82000000000002,101.0
004292d5-f9ab-476a-b89d-578da4e9ff02,2,0,0,1,949.47,55.0
00451316-3f38-4171-a20e-94e962c8c093,1,0,0,1,137.97,0.0
0049d10e-dff2-4fca-9e2d-96a88f731006,1,0,0,1,949.47,0.0
004b64f3-2c05-498f-affe-7fb1844bdade,2,0,0,1,86.23,61.0
004cfbaa-12b8-41c1-a2d4-8ce06b6ac350,9,0,0,8,576.9833333333333,343.0
004cfcad-a17d-4650-a061-512719105349,5,0,0,4,140.904,166.0
004e791d-10a9-48ee-bbbe-e11fe654f43f,2,0,1,2,43.76,401.0
004f3fc5-0e60-4944-bf4f-558c5bb9be0f,4,0,0,2,16.975,136.0
0050fd38-f756-4d11-97a1-85f6078cdf3d,1,0,0,1,160.57,0.0
00513d95-a849-48e3-8874-a5079493ce0c,1,0,0,1,577.89,0.0
0051b14d-b5d1-47b9-93ab-868a878a317f,2,0,0,1,1013.86,32.0
0054eae1-d26a-4510-8f2c-e13b60408afc,2,0,0,1,1479.55,8.0
00554366-dde7-4b36-a7a1-bbb51409b60e,2,0,0,1,345.93,60.0
005575a8-2209-4c6e-a677-a05dacaa64d8,16,0,0,4,658.640625,533.0
005578c7-5b47-455d-81ae-75dfa8795062,2,0,0,2,80.055,112.0
005c1aec-e3b8-4693-b80a-990a585e15f3,1,0,0,1,189.17,0.0
005e878a-46ed-45b2-8ca6-d378fe0066b3,2,0,0,1,810.32,24.0
005edb77-a8f7-4c64-8f24-451ee7570fa3,5,0,0,4,85.724,2437.0
005fc8e1-33a7-4a33-a278-9a7cd1910d40,2,0,0,2,559.83,348.0
0060e8fe-8b57-4175-867b-6d2fa990867e,1,0,0,1,37.32,0.0
00612ce6-2eb6-46f8-8ae1-46df3a14f0bd,3,0,0,1,43.73,63.0
00614775-b8cb-4bbc-8be0-2ed19dbfd2f0,5,0,0,3,108.08400000000002,61.0
00622713-4f51-41f8-bfc9-b1a1a17a40c1,10,0,0,3,119.223,534.0
00632268-8d0b-4917-b84c-93e0a467ad2f,1,0,0,1,41.19,0.0
00657a2b-5f18-4ec2-b374-3ef4ff31328c,2,0,1,1,177.27,4683.0
00660fc7-057c-4fd3-853a-c24975f75555,1,0,0,1,94.46,0.0
0066d311-b84f-4572-883c-5651de23f490,1,0,0,1,22.8,0.0
0067ce41-4e33-4031-bab1-48d02fed6374,3,0,0,1,22.8,82.0
0069d8dd-de32-4681-9192-4cba143a787e,1,0,0,1,1364.23,0.0
006ba974-f0c0-4b96-87f9-88d54a77726d,1,0,0,1,79.02,0.0
006f3e2c-ab8c-4285-8ab6-f3ed34272e5a,25,0,0,20,178.13279999999997,1606.0
006fcf3f-e9e3-4bf5-bdbf-89bbd7298d23,3,0,0,3,35.23333333333333,91.0
006fe59a-957b-494a-8d91-800dbec0b5d9,1,0,0,1,66.9,0.0
00700c78-b0cb-4d65-98d6-ead65bcf36b9,1,0,0,1,218.51,0.0
00727286-4f53-4af6-ab64-482908941e3b,6,0,0,2,437.5233333333333,876.0
00733671-5c02-4105-b54e-e7381914c572,23,0,0,13,11.38173913043478,814.0
00760c33-8893-4647-824e-ead25503c6e5,2,0,0,1,308.37,93.0
00764f48-f75d-4db0-96b1-2beae6ae2407,2,0,1,1,317.67,37.0
00768b99-112a-481b-9b62-8de9a404a7b3,3,0,0,3,106.05333333333334,45.0
0077403d-8c53-40a5-bf88-eadb9e69debe,2,0,0,1,53.96,38.0
007758ae-6aef-43ef-b105-7bd2a94309f9,2,0,1,1,746.2199999999999,58.0
